City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,51.04,83,89,16.33,overcast clouds
1,Hilo,US,19.7297,-155.09,78.24,73,1,5.75,clear sky
2,Albany,US,42.6001,-73.9662,61.16,78,93,11.83,overcast clouds
3,Carnarvon,AU,-24.8667,113.6333,68.07,68,90,20.71,overcast clouds
4,Karlskrona,SE,56.1616,15.5866,50.45,95,98,9.37,overcast clouds
5,Pochutla,MX,15.7432,-96.4661,85.82,57,57,5.37,broken clouds
6,Roald,NO,62.5833,6.1333,48.09,76,0,5.75,clear sky
7,Fortuna,US,40.5982,-124.1573,62.92,73,1,1.01,clear sky
8,Yashiro,JP,34.9167,134.9667,59.94,87,28,3.94,scattered clouds
9,Cape Town,ZA,-33.9258,18.4232,66.09,69,20,5.75,few clouds
10,Axim,GH,4.8699,-2.2405,79.83,83,99,10.11,light rain
11,Gobabis,NA,-22.45,18.9667,80.29,6,0,9.89,clear sky
12,Kumluca,TR,36.3703,30.2869,66.43,71,100,3.94,overcast clouds
13,Grand-Santi,GF,4.25,-54.3833,85.06,65,69,1.48,broken clouds
14,Chokurdakh,RU,70.6333,147.9167,-12.3,100,100,5.61,overcast clouds
15,Jamestown,US,42.097,-79.2353,54.01,91,90,3.0,overcast clouds
16,Dikson,RU,73.5069,80.5464,6.75,94,97,10.29,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,74.16,87,93,13.4,moderate rain
18,Ancud,CL,-41.8697,-73.8203,71.13,41,24,4.05,few clouds
19,Norman Wells,CA,65.282,-126.8329,15.84,92,75,3.44,broken clouds
20,Aksu,CN,41.1231,80.2644,46.98,41,6,4.72,clear sky
21,Port Alfred,ZA,-33.5906,26.891,67.28,86,72,18.1,broken clouds
22,Bredasdorp,ZA,-34.5322,20.0403,60.28,81,89,5.57,overcast clouds
23,Tommot,RU,58.9564,126.2925,25.88,92,100,2.59,overcast clouds
24,Cidreira,BR,-30.1811,-50.2056,71.71,79,17,21.79,few clouds
25,Zeya,RU,53.75,127.2667,24.12,51,42,3.06,scattered clouds
26,Punta Arenas,CL,-53.15,-70.9167,53.71,50,0,9.22,clear sky
27,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,28,7.65,scattered clouds
28,Savannah Bight,HN,16.45,-85.85,84.25,71,76,6.91,broken clouds
29,Ushuaia,AR,-54.8,-68.3,56.86,41,0,0.0,clear sky
30,Nikolskoye,RU,59.7035,30.7861,47.88,83,61,8.52,broken clouds
31,Sakakah,SA,29.9697,40.2064,81.97,23,100,8.93,overcast clouds
32,Lashio,MM,22.9333,97.75,62.46,98,5,0.56,clear sky
33,Lebu,CL,-37.6167,-73.65,58.78,75,100,8.88,overcast clouds
34,Yellowknife,CA,62.456,-114.3525,30.42,100,75,8.05,light snow
35,Loandjili,CG,-4.7561,11.8578,80.71,78,20,5.75,few clouds
36,Mildura,AU,-34.2,142.15,58.96,38,98,5.75,overcast clouds
37,Saint-Augustin,CA,51.226,-58.6502,49.8,56,80,6.64,broken clouds
38,Airai,TL,-8.9266,125.4092,60.82,88,94,2.04,overcast clouds
39,Cherskiy,RU,68.75,161.3,-0.6,98,100,4.94,overcast clouds
40,Salalah,OM,17.0151,54.0924,78.89,47,0,3.44,clear sky
41,Tiksi,RU,71.6872,128.8694,15.75,84,100,12.8,overcast clouds
42,Kapaa,US,22.0752,-159.319,75.18,92,1,5.75,clear sky
43,Kodiak,US,57.79,-152.4072,45.91,87,90,16.11,light rain
44,East London,ZA,-33.0153,27.9116,67.14,82,75,11.5,broken clouds
45,Cabo San Lucas,MX,22.8909,-109.9124,87.62,63,9,1.99,clear sky
46,Sistranda,NO,63.7256,8.834,49.89,83,66,9.57,broken clouds
47,Hamilton,US,39.1834,-84.5333,62.04,73,90,1.01,overcast clouds
48,Harper,LR,4.375,-7.7169,79.59,82,77,9.01,broken clouds
49,Fare,PF,-16.7,-151.0167,78.24,73,71,15.66,light rain
50,Labytnangi,RU,66.6572,66.4183,1.36,85,23,5.46,few clouds
51,Lykhivka,UA,48.6874,33.9228,46.72,56,0,8.14,clear sky
52,Castro,BR,-24.7911,-50.0119,60.76,96,100,6.67,overcast clouds
53,Bereda,ES,43.2686,-7.5406,57.42,94,100,5.99,overcast clouds
54,Nanortalik,GL,60.1432,-45.2371,34.12,74,57,14.0,broken clouds
55,Manacapuru,BR,-3.2997,-60.6206,93.78,50,100,1.66,overcast clouds
56,Hobart,AU,-42.8794,147.3294,55.26,62,40,3.0,scattered clouds
57,Esperance,AU,-33.8667,121.9,64.92,55,100,16.28,overcast clouds
58,Kaohsiung,TW,22.6163,120.3133,76.03,85,40,2.3,scattered clouds
59,Kavaratti,IN,10.5669,72.642,81.52,81,96,4.7,overcast clouds
60,Avarua,CK,-21.2078,-159.775,73.45,73,40,11.5,scattered clouds
61,Vardo,NO,70.3705,31.1107,37.38,93,75,14.97,broken clouds
62,Hithadhoo,MV,-0.6,73.0833,82.4,78,100,16.73,overcast clouds
63,Barrow,US,71.2906,-156.7887,28.42,86,90,20.71,light snow
64,Hasaki,JP,35.7333,140.8333,57.6,89,100,5.55,overcast clouds
65,New Waterford,US,40.8451,-80.6145,59.25,74,88,13.44,overcast clouds
66,Bengkulu,ID,-3.8004,102.2655,76.21,92,100,4.03,overcast clouds
67,Price,US,39.5994,-110.8107,60.73,50,1,3.44,clear sky
68,Dalvik,IS,65.9702,-18.5286,33.73,99,100,14.0,moderate rain
69,Rybnaya Sloboda,RU,55.4613,50.1409,44.58,81,63,13.33,broken clouds
70,Helena,US,46.5927,-112.0361,35.17,70,90,1.01,overcast clouds
71,Ahipara,NZ,-35.1667,173.1667,55.4,78,95,9.57,overcast clouds
72,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,90,12.66,overcast clouds
73,Mokhsogollokh,RU,61.4681,128.9203,21.54,96,100,3.18,light snow
74,Anloga,GH,5.7947,0.8973,81.93,80,99,13.67,light rain
75,Perth,AU,-31.9333,115.8333,62.1,79,75,5.75,broken clouds
76,Mataura,NZ,-46.1927,168.8643,38.84,88,87,2.3,overcast clouds
77,Lodja,CD,-3.4833,23.4333,74.12,82,88,1.86,overcast clouds
78,Chuy,UY,-33.6971,-53.4616,74.7,71,80,10.63,broken clouds
79,Kavieng,PG,-2.5744,150.7967,82.44,77,99,14.97,light rain
80,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,94,75,11.5,broken clouds
81,Buzdyak,RU,54.5833,54.55,45.0,90,58,15.23,broken clouds
82,Hirara,JP,24.8,125.2833,76.39,63,55,13.38,broken clouds
83,Srednekolymsk,RU,67.45,153.6833,-3.32,99,99,6.8,overcast clouds
84,Sechura,PE,-5.5569,-80.8222,78.85,51,37,12.39,scattered clouds
85,Vilhena,BR,-12.7406,-60.1458,71.82,94,75,14.97,thunderstorm with light rain
86,Karachi,PK,24.9056,67.0822,75.02,73,59,5.75,broken clouds
87,Chapais,CA,49.7834,-74.8492,42.58,96,100,5.5,overcast clouds
88,Hermanus,ZA,-34.4187,19.2345,63.9,84,96,9.84,overcast clouds
89,Lavrentiya,RU,65.5833,-171.0,12.63,82,5,12.53,clear sky
90,Tasiilaq,GL,65.6145,-37.6368,24.96,66,100,4.07,overcast clouds
91,Puerto Ayora,EC,-0.7393,-90.3518,75.16,79,79,9.62,broken clouds
92,Garowe,SO,8.4054,48.4845,77.34,64,46,17.96,scattered clouds
93,Acari,PE,-15.4311,-74.6158,78.69,50,41,11.36,scattered clouds
94,Lubaczow,PL,50.157,23.1234,47.52,60,0,8.12,clear sky
95,Umea,SE,63.8284,20.2597,44.53,100,90,6.91,overcast clouds
96,Natal,BR,-5.795,-35.2094,84.85,70,40,18.41,scattered clouds
97,Kindu,CD,-2.95,25.95,70.88,98,87,0.54,light rain
98,Hambantota,LK,6.1241,81.1185,79.29,84,42,4.18,scattered clouds
99,Itoman,JP,26.1247,127.6694,73.42,80,75,3.44,broken clouds
100,Ilulissat,GL,69.2167,-51.1,32.02,93,75,19.57,snow
101,Kudahuvadhoo,MV,2.6708,72.8944,83.17,76,44,17.96,scattered clouds
102,Svecha,RU,58.2785,47.5164,42.01,92,84,8.77,broken clouds
103,Krabi,TH,8.0726,98.9105,81.99,100,20,3.44,few clouds
104,Navalcarnero,ES,40.2891,-4.012,65.23,100,99,25.08,overcast clouds
105,Doha,QA,25.2867,51.5333,80.58,69,0,8.05,clear sky
106,Svetlogorsk,BY,52.6333,29.7333,43.02,68,0,8.21,clear sky
107,San Ramon,US,37.7799,-121.978,63.64,72,1,1.01,clear sky
108,Burnie,AU,-41.0667,145.9167,49.91,63,59,12.1,broken clouds
109,Cuamba,MZ,-14.8031,36.5372,85.39,30,32,2.13,scattered clouds
110,Balikpapan,ID,-1.2675,116.8289,75.96,91,73,6.22,broken clouds
111,Wattegama,LK,6.7989,81.4808,74.89,96,54,2.13,broken clouds
112,Jaru,BR,-10.4389,-62.4664,93.63,40,61,7.56,broken clouds
113,Nanaimo,CA,49.1663,-123.936,51.51,69,1,1.01,clear sky
114,Noumea,NC,-22.2763,166.4572,62.58,77,10,4.38,clear sky
115,Saint George,US,37.1041,-113.5841,77.47,39,1,0.0,clear sky
116,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,92.59,50,91,0.76,overcast clouds
117,Longyearbyen,SJ,78.2186,15.6401,30.04,69,40,8.05,scattered clouds
118,Vyazemskiy,RU,47.5378,134.7525,29.26,63,1,2.68,clear sky
119,Nizhniy Tagil,RU,57.9194,59.965,39.49,97,100,9.75,overcast clouds
120,Beloha,MG,-25.1667,45.05,72.93,78,96,2.82,light rain
121,Thompson,CA,55.7435,-97.8558,33.96,80,75,9.22,broken clouds
122,Dauphin,CA,51.1494,-100.0502,37.54,56,90,14.97,light rain
123,Bethel,US,41.3712,-73.414,65.44,71,75,1.01,broken clouds
124,Khatanga,RU,71.9667,102.5,4.95,96,100,9.48,light snow
125,Ribeira Grande,PT,38.5167,-28.7,68.4,94,75,8.05,broken clouds
126,Georgetown,MY,5.4112,100.3354,79.9,89,20,2.3,light rain
127,Tuatapere,NZ,-46.1333,167.6833,40.64,83,54,5.64,broken clouds
128,Gidam,IN,18.9833,81.4,71.37,77,37,2.73,scattered clouds
129,Coria,ES,39.9879,-6.5377,66.45,91,99,15.41,overcast clouds
130,Fatehpur,IN,25.9333,80.8,70.59,45,0,1.1,clear sky
131,Asbestos,CA,45.7668,-71.9324,50.29,97,100,11.23,overcast clouds
132,Severo-Kurilsk,RU,50.6789,156.125,34.93,65,99,25.64,overcast clouds
133,Tessalit,ML,20.1986,1.0114,90.52,11,77,7.94,broken clouds
134,Atuona,PF,-9.8,-139.0333,79.45,75,78,18.03,broken clouds
135,Port Lincoln,AU,-34.7333,135.8667,58.84,77,0,11.23,clear sky
136,Butaritari,KI,3.0707,172.7902,80.8,78,41,9.53,light rain
137,Ouallam,NE,14.3188,2.0866,93.78,11,72,9.48,broken clouds
138,Suzun,RU,53.7841,82.3116,27.77,82,98,13.71,overcast clouds
139,Vostok,RU,46.4856,135.8833,27.01,94,74,1.07,broken clouds
140,Kanniyakumari,IN,8.0833,77.5667,79.77,80,100,3.85,very heavy rain
141,Buraydah,SA,26.326,43.975,77.45,27,1,10.11,clear sky
142,Isla Mujeres,MX,21.2311,-86.731,86.16,56,14,8.39,few clouds
143,Moose Factory,CA,51.2585,-80.6094,42.8,81,90,8.05,overcast clouds
144,Cayenne,GF,4.9333,-52.3333,87.84,75,40,5.99,scattered clouds
145,Itarema,BR,-2.9248,-39.9167,85.44,64,73,16.84,broken clouds
146,Ust-Uda,RU,54.1742,103.0304,29.84,86,84,3.4,broken clouds
147,Shenkursk,RU,62.1091,42.896,41.9,89,100,4.63,overcast clouds
148,Broome,US,42.2506,-75.833,56.84,80,90,7.0,overcast clouds
149,Namibe,AO,-15.1961,12.1522,68.0,72,90,17.05,overcast clouds
150,Ekuvukeni,ZA,-28.4675,30.1551,66.29,42,0,6.67,clear sky
151,Seoul,KR,37.5683,126.9778,53.04,100,20,2.3,fog
152,Wajima,JP,37.4,136.9,61.0,79,29,7.65,scattered clouds
153,Tarakan,ID,3.3,117.6333,76.5,94,40,3.44,scattered clouds
154,Marawi,PH,7.9986,124.2928,65.64,94,88,0.38,overcast clouds
155,Bukachacha,RU,52.9833,116.9167,23.45,57,55,2.17,broken clouds
156,Pangnirtung,CA,66.1451,-65.7125,30.2,93,90,0.0,light snow
157,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,0,12.66,clear sky
158,Upernavik,GL,72.7868,-56.1549,33.06,98,100,17.18,light snow
159,Linxia,CN,35.6003,103.2064,42.1,72,95,1.03,overcast clouds
160,Samagaltay,RU,50.6022,95.0047,34.43,47,96,8.19,overcast clouds
161,College,US,64.8569,-147.8028,46.06,48,75,5.75,broken clouds
162,San Andres,CO,12.5847,-81.7006,86.02,70,75,12.66,broken clouds
163,Naze,JP,28.3667,129.4833,68.86,81,70,11.14,broken clouds
164,Sao Filipe,CV,14.8961,-24.4956,80.71,70,87,11.9,overcast clouds
165,Fraga,ES,41.5229,0.3489,67.03,80,90,8.48,light rain
166,Constitucion,CL,-35.3333,-72.4167,61.07,72,100,6.53,overcast clouds
167,Gamba,GA,-2.65,10.0,76.33,87,97,5.68,overcast clouds
168,Victoria,HK,22.2855,114.1577,76.32,82,87,1.99,light rain
169,Poum,NC,-20.2333,164.0167,74.59,68,1,15.59,clear sky
170,Salinopolis,BR,-0.6136,-47.3561,83.12,76,76,9.37,broken clouds
171,Zirgan,RU,53.2222,55.9185,42.93,94,58,8.93,broken clouds
172,Pevek,RU,69.7008,170.3133,-0.4,97,100,3.8,overcast clouds
173,Baker City,US,44.7749,-117.8344,53.64,82,75,4.61,broken clouds
174,Pampa,US,35.5362,-100.9599,55.44,50,1,9.22,clear sky
175,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,75,3.44,broken clouds
176,Gat,IL,31.61,34.7642,83.08,38,35,15.01,scattered clouds
177,Ponerihouen,NC,-21.0833,165.4,68.34,77,26,5.01,scattered clouds
178,Torbay,CA,47.6666,-52.7314,47.28,91,90,12.66,overcast clouds
179,Geraldton,AU,-28.7667,114.6,62.13,77,40,8.05,scattered clouds
180,Yar-Sale,RU,66.8333,70.8333,8.02,95,56,4.56,broken clouds
181,Shache,CN,38.4167,77.2406,49.5,29,100,5.3,overcast clouds
182,Boyolangu,ID,-8.1181,111.8935,76.89,88,96,0.74,overcast clouds
183,Teya,RU,60.3778,92.6267,21.65,93,100,1.88,overcast clouds
184,Souillac,MU,-20.5167,57.5167,73.78,78,75,3.44,broken clouds
185,Mar Del Plata,AR,-38.0023,-57.5575,60.1,83,90,8.99,overcast clouds
186,Qaanaaq,GL,77.484,-69.3632,11.28,66,100,9.82,overcast clouds
187,Alyangula,AU,-13.8483,136.4192,81.95,76,38,5.37,scattered clouds
188,Maragogi,BR,-9.0122,-35.2225,81.7,64,60,9.93,broken clouds
189,Maumere,ID,-8.6199,122.2111,80.26,79,68,0.11,broken clouds
190,Jiangyou,CN,31.7667,104.7167,59.47,76,100,3.02,light rain
191,Norsup,VU,-16.0667,167.3833,77.54,78,27,6.89,scattered clouds
192,Coos Bay,US,43.3665,-124.2179,59.31,94,90,0.0,overcast clouds
193,Dwarka,IN,22.2394,68.9678,80.78,48,8,8.01,clear sky
194,Stabat,ID,3.761,98.4513,72.9,96,96,1.95,light rain
195,Varena,LT,54.2167,24.5667,49.48,75,6,6.96,clear sky
196,Asau,RO,46.4333,26.4,45.39,90,0,0.81,clear sky
197,Ereymentau,KZ,51.6199,73.1033,27.34,81,53,7.05,broken clouds
198,Beringovskiy,RU,63.05,179.3167,5.88,94,94,13.33,light snow
199,Thinadhoo,MV,0.5333,72.9333,82.8,77,99,18.77,overcast clouds
200,Olafsvik,IS,64.8945,-23.7142,35.69,70,25,17.85,scattered clouds
201,Sorong,ID,-0.8833,131.25,79.54,82,100,3.91,overcast clouds
202,Lompoc,US,34.6391,-120.4579,67.01,68,1,5.75,clear sky
203,Khao Yoi,TH,13.2403,99.8243,74.91,85,98,3.83,overcast clouds
204,Ponta Do Sol,PT,32.6667,-17.1,75.7,80,40,7.14,scattered clouds
205,Korla,CN,41.7597,86.1469,48.81,44,99,2.77,overcast clouds
206,Ottawa,CA,45.4112,-75.6981,52.72,97,90,1.99,mist
207,Amarante Do Maranhao,BR,-5.5667,-46.7422,89.33,42,65,3.6,broken clouds
208,Lorengau,PG,-2.0226,147.2712,81.37,78,99,10.54,overcast clouds
209,Saskylakh,RU,71.9167,114.0833,10.56,97,100,4.94,overcast clouds
210,Vila Velha,BR,-20.3297,-40.2925,76.95,78,90,12.66,light rain
211,Abu Kamal,SY,34.4506,40.9171,75.94,36,94,3.47,overcast clouds
212,San Quintin,MX,30.4833,-115.95,66.47,69,29,8.66,scattered clouds
213,Vaini,TO,-21.2,-175.2,73.56,94,20,6.91,few clouds
214,Bluff,NZ,-46.6,168.3333,47.21,77,86,17.74,overcast clouds
215,Dunedin,NZ,-45.8742,170.5036,49.8,58,60,8.01,broken clouds
216,Saint-Pierre,RE,-21.3393,55.4781,73.08,72,0,5.75,clear sky
217,Luderitz,NA,-26.6481,15.1594,61.2,80,35,7.0,scattered clouds
218,Hue,VN,16.4667,107.6,77.11,94,40,2.3,scattered clouds
219,Pagudpud,PH,18.5616,120.7868,73.36,83,10,11.88,clear sky
220,Pisco,PE,-13.7,-76.2167,68.05,73,0,11.5,clear sky
221,Mumford,GH,5.2618,-0.759,79.61,86,97,13.13,light rain
222,Gijon,ES,43.5357,-5.6615,60.8,90,100,7.05,overcast clouds
223,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,75,0,25.32,clear sky
224,Flinders,AU,-34.5833,150.8552,58.37,80,7,1.01,clear sky
225,Qovlar,AZ,40.948,45.735,49.05,76,25,3.0,scattered clouds
226,Lake City,US,30.1897,-82.6393,62.65,63,90,11.5,overcast clouds
227,Avera,US,33.194,-82.5271,70.48,49,4,10.07,clear sky
228,Auki,SB,-8.7676,160.7034,76.8,89,75,4.23,broken clouds
229,Camopi,GF,3.1655,-52.3158,88.65,54,80,6.29,broken clouds
230,Lake Charles,US,30.2131,-93.2044,78.78,30,1,0.0,clear sky
231,Yakeshi,CN,49.2833,120.7333,25.65,36,36,3.6,scattered clouds
232,Diego De Almagro,CL,-26.3667,-70.05,80.08,15,0,13.51,clear sky
